                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7815,                  1.624,                 0.2487,                0.85614,                0.72591,                0.79634,                0.47965,                0.57451,                0.54356,                0.15591,             0.00055406,             0.00055406,             0.00055406
                      2,                0.63847,                0.56089,                0.16306,                0.85172,                0.73274,                0.79834,                0.48962,                0.53908,                0.59013,                0.13917,              0.0010987,              0.0010987,              0.0010987
                      3,                0.60515,                 0.5776,                0.15195,                 0.8545,                0.68478,                0.79883,                0.48535,                0.53534,                0.61908,                 0.1565,              0.0016324,              0.0016324,              0.0016324
                      4,                0.60746,                0.55444,                0.15222,                0.89636,                 0.7708,                0.85629,                0.49297,                0.53495,                0.53383,                0.13686,              0.0016175,              0.0016175,              0.0016175
                      5,                0.58095,                0.53796,                0.14148,                    nan,                0.94868,                0.86245,                0.52623,                0.52674,                    nan,                0.13801,               0.001601,               0.001601,               0.001601
                      6,                0.57738,                 0.5615,                0.14033,                    nan,                0.88083,                0.78975,                0.46974,                    nan,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      7,                 0.5577,                0.55843,                0.13389,                    nan,                0.93424,                0.83945,                 0.5148,                    nan,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                      8,                0.55712,                0.54168,                0.13413,                    nan,                0.94035,                0.84814,                0.51983,                    nan,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                      9,                0.55555,                0.52765,                0.13216,                 0.8426,                0.78898,                0.84857,                  0.522,                0.52942,                 0.5609,                0.14669,               0.001535,               0.001535,               0.001535
                     10,                0.55085,                0.54054,                0.13297,                0.89998,                0.76634,                0.86631,                0.53254,                0.48726,                0.53757,                0.13094,              0.0015185,              0.0015185,              0.0015185
                     11,                0.54402,                0.52542,                0.12986,                    nan,                0.95531,                 0.8788,                 0.5333,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                     12,                 0.5445,                0.53013,                0.13234,                    nan,                0.93435,                0.83887,                0.51109,                    nan,                    nan,                    nan,              0.0014855,              0.0014855,              0.0014855
                     13,                0.53501,                0.52632,                0.12584,                    nan,                0.95605,                0.85311,                0.52158,                0.50265,                    nan,                0.13944,               0.001469,               0.001469,               0.001469
                     14,                 0.5391,                0.52326,                0.12676,                 0.9014,                0.79566,                0.88061,                0.54557,                0.47636,                0.53307,                0.12782,              0.0014525,              0.0014525,              0.0014525
                     15,                0.52936,                0.51247,                0.12572,                0.87342,                0.81225,                0.87962,                0.54708,                0.47993,                0.52104,                0.12912,               0.001436,               0.001436,               0.001436
                     16,                0.53649,                0.53601,                0.12679,                0.89378,                0.77613,                0.85861,                0.53042,                0.48462,                0.55871,                0.12999,              0.0014195,              0.0014195,              0.0014195
                     17,                0.51585,                0.52317,                0.12319,                    nan,                0.96036,                0.88667,                0.55135,                    nan,                    nan,                    nan,              0.0014029,              0.0014029,              0.0014029
                     18,                0.52256,                0.51158,                 0.1233,                0.89105,                0.80836,                0.87218,                0.53919,                0.48166,                0.54782,                0.13298,              0.0013864,              0.0013864,              0.0013864
                     19,                0.51927,                0.49626,                0.12199,                0.91202,                0.82402,                0.89311,                0.56144,                0.47964,                0.48231,                0.13537,              0.0013699,              0.0013699,              0.0013699
                     20,                0.50786,                0.50637,                 0.1219,                0.89064,                0.80548,                0.87211,                0.53944,                 0.4872,                0.51483,                0.12847,              0.0013534,              0.0013534,              0.0013534
                     21,                0.50593,                0.49533,                0.12002,                    nan,                0.96142,                0.90057,                0.56693,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     22,                0.50963,                0.49516,                0.12215,                0.90043,                0.82582,                0.88432,                 0.5575,                0.45869,                0.52986,                0.12225,              0.0013204,              0.0013204,              0.0013204
                     23,                0.51586,                0.50063,                0.12102,                    nan,                0.94534,                0.86088,                0.52668,                    nan,                    nan,                    nan,              0.0013039,              0.0013039,              0.0013039
                     24,                0.50717,                0.51166,                0.11815,                0.88588,                0.80392,                0.87694,                0.54791,                0.46873,                0.52443,                0.12886,              0.0012874,              0.0012874,              0.0012874
                     25,                0.50441,                0.51303,                0.11841,                0.89576,                0.82038,                0.89016,                0.55661,                0.45354,                0.52301,                0.12213,              0.0012709,              0.0012709,              0.0012709
                     26,                0.49603,                0.49965,                 0.1182,                    nan,                 0.9601,                0.89728,                0.56448,                    nan,                    nan,                    nan,              0.0012544,              0.0012544,              0.0012544
                     27,                0.49779,                0.49542,                0.11778,                0.91467,                0.83713,                0.89975,                0.55852,                0.47654,                0.49941,                0.12733,              0.0012379,              0.0012379,              0.0012379
                     28,                0.49545,                0.50247,                0.11519,                    nan,                0.96807,                0.89717,                0.55774,                0.45121,                    nan,                0.12516,              0.0012214,              0.0012214,              0.0012214
                     29,                0.48875,                0.48947,                0.11775,                    nan,                0.96975,                0.89825,                0.56329,                    nan,                    nan,                    nan,              0.0012049,              0.0012049,              0.0012049
                     30,                0.48803,                0.49346,                0.11591,                    nan,                0.97454,                0.90908,                0.57092,                    nan,                    nan,                    nan,              0.0011884,              0.0011884,              0.0011884
                     31,                0.50311,                0.50637,                 0.1189,                    nan,                0.96621,                0.87699,                0.53825,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     32,                 0.4987,                0.51001,                0.11801,                 0.8815,                0.81442,                0.88514,                0.55413,                0.45752,                0.53416,                0.12796,              0.0011554,              0.0011554,              0.0011554
                     33,                0.49295,                0.50495,                0.11646,                0.91825,                0.82063,                0.90768,                0.57354,                 0.4525,                0.49826,                0.12674,              0.0011389,              0.0011389,              0.0011389
                     34,                 0.4975,                0.51038,                 0.1172,                0.91059,                0.83699,                0.91653,                0.57909,                0.43858,                 0.5207,                0.12034,              0.0011224,              0.0011224,              0.0011224
                     35,                0.49133,                0.49669,                0.11661,                0.91413,                0.84527,                0.91005,                0.56627,                0.44465,                0.50498,                 0.1215,              0.0011059,              0.0011059,              0.0011059
                     36,                 0.4779,                0.49373,                0.11346,                0.91133,                0.85164,                0.91386,                0.57759,                0.43463,                0.51204,                0.11917,              0.0010894,              0.0010894,              0.0010894
                     37,                0.48435,                0.48517,                0.11433,                0.90953,                0.84284,                0.91099,                0.57788,                0.42959,                0.51698,                0.11792,              0.0010729,              0.0010729,              0.0010729
                     38,                0.47499,                0.48522,                0.11086,                0.91617,                0.86217,                0.92078,                0.57217,                0.44014,                0.49977,                0.12066,              0.0010564,              0.0010564,              0.0010564
                     39,                0.47511,                0.47788,                0.10983,                0.91327,                 0.8587,                0.91921,                0.57863,                0.43378,                 0.5013,                 0.1182,              0.0010399,              0.0010399,              0.0010399
                     40,                0.47072,                0.48672,                0.11171,                    nan,                0.96679,                0.90849,                0.57631,                    nan,                    nan,                    nan,              0.0010234,              0.0010234,              0.0010234
                     41,                0.47722,                0.48747,                0.11121,                    nan,                0.97489,                0.90987,                 0.5653,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     42,                0.47248,                0.49497,                0.11224,                    nan,                 0.9648,                0.90874,                 0.5672,                    nan,                    nan,                    nan,             0.00099036,             0.00099036,             0.00099036
                     43,                0.47723,                 0.4784,                  0.114,                0.91497,                 0.8696,                0.92104,                 0.5839,                0.42565,                0.50747,                0.11544,             0.00097386,             0.00097386,             0.00097386
                     44,                0.46301,                0.48009,                0.10829,                  0.907,                0.85981,                0.91568,                  0.574,                0.43409,                0.53283,                0.11774,             0.00095736,             0.00095736,             0.00095736
                     45,                0.46885,                0.48112,                0.11069,                0.91588,                0.86205,                 0.9224,                0.58168,                 0.4281,                 0.4977,                0.11655,             0.00094085,             0.00094085,             0.00094085
                     46,                0.46652,                0.47299,                0.11145,                0.90727,                  0.877,                0.92562,                0.58871,                0.42031,                0.50062,                0.11661,             0.00092435,             0.00092435,             0.00092435
                     47,                0.46081,                0.47385,                0.10775,                0.90953,                0.87303,                0.92938,                 0.5956,                0.41909,                0.49333,                0.11422,             0.00090785,             0.00090785,             0.00090785
                     48,                0.45879,                0.47608,                0.10816,                0.91505,                0.87643,                0.93418,                0.59465,                 0.4254,                0.47927,                0.11506,             0.00089134,             0.00089134,             0.00089134
                     49,                0.45106,                0.46591,                0.10784,                0.93131,                0.86867,                0.93416,                0.59036,                0.41891,                0.50507,                0.11426,             0.00087484,             0.00087484,             0.00087484
                     50,                0.45238,                0.46395,                0.10534,                0.91364,                0.87992,                 0.9303,                0.58877,                0.42539,                0.48915,                0.11508,             0.00085834,             0.00085834,             0.00085834
